Orthogroup	Acanthamoeba_castellani.NEFF	Babesia_bovis.T2Bo	Cryptosporidium_parvum	Eimeria_tenella	Entamoeba_histolytica.HM1IMSS	Giardia_intestinalis.AWB	Leishmania_donovani.BPK282A1	Leishmania_major.Friedlin	Maranthos_nigrum.EAF	Parvilucifera_sinerae.EAF	Perkinsus_marinus.high_quality	Plasmodium_falciparum	Sarcocystis_neurona.SN3	Theileria_annulata.Ankara	Toxoplasma_gondii	Trichomonas_vaginalis.G3	Trypanosoma_brucei.TREU927	Trypanosoma_cruzi.CLBElike
OG0024889	XP_004337453.1																	
OG0024890	XP_004337457.1																	
OG0024891	XP_004337458.1																	
OG0024892	XP_004337461.1																	
OG0024893	XP_004337467.1																	
OG0024894	XP_004337470.1																	
OG0024895	XP_004337472.1																	
OG0024896	XP_004337476.1																	
OG0024897	XP_004337481.1																	
OG0024898	XP_004337499.1																	
OG0024899	XP_004337501.1																	
OG0024900	XP_004337503.1																	
OG0024901	XP_004337504.1																	
OG0024902	XP_004337515.1																	
OG0024903	XP_004337523.1																	
OG0024904	XP_004337526.1																	
OG0024905	XP_004337528.1																	
OG0024906	XP_004337533.1																	
OG0024907	XP_004337552.1																	
OG0024908	XP_004337553.1																	
OG0024909	XP_004337558.1																	
OG0024910	XP_004337573.1																	
OG0024911	XP_004337578.1																	
OG0024912	XP_004337580.1																	
OG0024913	XP_004337595.1																	
OG0024914	XP_004337596.1																	
OG0024915	XP_004337600.1																	
OG0024916	XP_004337606.1																	
OG0024917	XP_004337614.1																	
OG0024918	XP_004337618.1																	
OG0024919	XP_004337626.1																	
OG0024920	XP_004337628.1																	
OG0024921	XP_004337639.1																	
OG0024922	XP_004337642.1																	
OG0024923	XP_004337646.1																	
OG0024924	XP_004337647.1																	
OG0024925	XP_004337654.1																	
OG0024926	XP_004337655.1																	
OG0024927	XP_004337656.1																	
OG0024928	XP_004337662.1																	
OG0024929	XP_004337670.1																	
OG0024930	XP_004337671.1																	
OG0024931	XP_004337673.1																	
OG0024932	XP_004337674.1																	
OG0024933	XP_004337677.1																	
OG0024934	XP_004337678.1																	
OG0024935	XP_004337684.1																	
OG0024936	XP_004337686.1																	
OG0024937	XP_004337691.1																	
OG0024938	XP_004337696.1																	
OG0024939	XP_004337699.1																	
OG0024940	XP_004337704.1																	
OG0024941	XP_004337705.1																	
OG0024942	XP_004337707.1																	
OG0024943	XP_004337708.1																	
OG0024944	XP_004337721.1																	
OG0024945	XP_004337729.1																	
OG0024946	XP_004337731.1																	
OG0024947	XP_004337736.1																	
OG0024948	XP_004337739.1																	
OG0024949	XP_004337751.1																	
OG0024950	XP_004337752.1																	
OG0024951	XP_004337757.1																	
OG0024952	XP_004337759.1																	
OG0024953	XP_004337760.1																	
OG0024954	XP_004337770.1																	
OG0024955	XP_004337775.1																	
OG0024956	XP_004337777.1																	
OG0024957	XP_004337778.1																	
OG0024958	XP_004337784.1																	
OG0024959	XP_004337795.1																	
OG0024960	XP_004337800.1																	
OG0024961	XP_004337801.1																	
OG0024962	XP_004337808.1																	
OG0024963	XP_004337811.1																	
OG0024964	XP_004337813.1																	
OG0024965	XP_004337819.1																	
OG0024966	XP_004337820.1																	
OG0024967	XP_004337821.1																	
OG0024968	XP_004337824.1																	
OG0024969	XP_004337825.1																	
OG0024970	XP_004337826.1																	
OG0024971	XP_004337836.1																	
OG0024972	XP_004337840.1																	
OG0024973	XP_004337843.1																	
OG0024974	XP_004337850.1																	
OG0024975	XP_004337856.1																	
OG0024976	XP_004337868.1																	
OG0024977	XP_004337872.1																	
OG0024978	XP_004337873.1																	
OG0024979	XP_004337876.1																	
OG0024980	XP_004337880.1																	
OG0024981	XP_004337886.1																	
OG0024982	XP_004337890.1																	
OG0024983	XP_004337894.1																	
OG0024984	XP_004337897.1																	
OG0024985	XP_004337900.1																	
OG0024986	XP_004337914.1																	
OG0024987	XP_004337917.1																	
OG0024988	XP_004337919.1																	
OG0024989	XP_004337924.1																	
OG0024990	XP_004337925.1																	
OG0024991	XP_004337927.1																	
OG0024992	XP_004337931.1																	
OG0024993	XP_004337939.1																	
OG0024994	XP_004337941.1																	
OG0024995	XP_004337960.1																	
OG0024996	XP_004337961.1																	
OG0024997	XP_004337963.1																	
OG0024998	XP_004337966.1																	
OG0024999	XP_004337974.1																	
OG0025000	XP_004337984.1																	
OG0025001	XP_004337987.1																	
OG0025002	XP_004337988.1																	
OG0025003	XP_004337996.1																	
OG0025004	XP_004337997.1																	
OG0025005	XP_004338008.1																	
OG0025006	XP_004338022.1																	
OG0025007	XP_004338023.1																	
OG0025008	XP_004338026.1																	
OG0025009	XP_004338027.1																	
OG0025010	XP_004338033.1																	
OG0025011	XP_004338039.1																	
OG0025012	XP_004338041.1																	
OG0025013	XP_004338042.1																	
OG0025014	XP_004338051.1																	
OG0025015	XP_004338053.1																	
OG0025016	XP_004338059.1																	
OG0025017	XP_004338060.1																	
OG0025018	XP_004338066.1																	
OG0025019	XP_004338069.1																	
OG0025020	XP_004338072.1																	
OG0025021	XP_004338075.1																	
OG0025022	XP_004338080.1																	
OG0025023	XP_004338085.1																	
OG0025024	XP_004338090.1																	
OG0025025	XP_004338093.1																	
OG0025026	XP_004338095.1																	
OG0025027	XP_004338097.1																	
OG0025028	XP_004338101.1																	
OG0025029	XP_004338102.1																	
OG0025030	XP_004338110.1																	
OG0025031	XP_004338114.1																	
OG0025032	XP_004338130.1																	
OG0025033	XP_004338146.1																	
OG0025034	XP_004338148.1																	
OG0025035	XP_004338150.1																	
OG0025036	XP_004338153.1																	
OG0025037	XP_004338154.1																	
OG0025038	XP_004338155.1																	
OG0025039	XP_004338157.1																	
OG0025040	XP_004338162.1																	
OG0025041	XP_004338163.1																	
OG0025042	XP_004338166.1																	
OG0025043	XP_004338168.1																	
OG0025044	XP_004338172.1																	
OG0025045	XP_004338183.1																	
OG0025046	XP_004338186.1																	
OG0025047	XP_004338188.1																	
OG0025048	XP_004338198.1																	
OG0025049	XP_004338202.1																	
OG0025050	XP_004338211.1																	
OG0025051	XP_004338213.1																	
OG0025052	XP_004338220.1																	
OG0025053	XP_004338226.1																	
OG0025054	XP_004338230.1																	
OG0025055	XP_004338231.1																	
OG0025056	XP_004338236.1																	
OG0025057	XP_004338243.1																	
OG0025058	XP_004338249.1																	
OG0025059	XP_004338253.1																	
OG0025060	XP_004338254.1																	
OG0025061	XP_004338260.1																	
OG0025062	XP_004338262.1																	
OG0025063	XP_004338266.1																	
OG0025064	XP_004338268.1																	
OG0025065	XP_004338282.1																	
OG0025066	XP_004338283.1																	
OG0025067	XP_004338290.1																	
OG0025068	XP_004338296.1																	
OG0025069	XP_004338297.1																	
OG0025070	XP_004338302.1																	
OG0025071	XP_004338304.1																	
OG0025072	XP_004338305.1																	
OG0025073	XP_004338306.1																	
OG0025074	XP_004338310.1																	
OG0025075	XP_004338324.1																	
OG0025076	XP_004338333.1																	
OG0025077	XP_004338334.1																	
OG0025078	XP_004338335.1																	
OG0025079	XP_004338341.1																	
OG0025080	XP_004338342.1																	
OG0025081	XP_004338343.1																	
OG0025082	XP_004338346.1																	
OG0025083	XP_004338347.1																	
OG0025084	XP_004338351.1																	
OG0025085	XP_004338352.1																	
OG0025086	XP_004338356.1																	
OG0025087	XP_004338358.1																	
OG0025088	XP_004338361.1																	
OG0025089	XP_004338362.1																	
OG0025090	XP_004338364.1																	
OG0025091	XP_004338369.1																	
OG0025092	XP_004338374.1																	
OG0025093	XP_004338381.1																	
OG0025094	XP_004338383.1																	
OG0025095	XP_004338384.1																	
OG0025096	XP_004338409.1																	
OG0025097	XP_004338413.1																	
OG0025098	XP_004338415.1																	
OG0025099	XP_004338425.1																	
OG0025100	XP_004338427.1																	
OG0025101	XP_004338429.1																	
OG0025102	XP_004338434.1																	
OG0025103	XP_004338436.1																	
OG0025104	XP_004338446.1																	
OG0025105	XP_004338447.1																	
OG0025106	XP_004338451.1																	
OG0025107	XP_004338452.1																	
OG0025108	XP_004338453.1																	
OG0025109	XP_004338455.1																	
OG0025110	XP_004338459.1																	
OG0025111	XP_004338460.1																	
OG0025112	XP_004338463.1																	
OG0025113	XP_004338466.1																	
OG0025114	XP_004338475.1																	
OG0025115	XP_004338480.1																	
OG0025116	XP_004338482.1																	
OG0025117	XP_004338490.1																	
OG0025118	XP_004338504.1																	
OG0025119	XP_004338510.1																	
OG0025120	XP_004338514.1																	
OG0025121	XP_004338518.1																	
OG0025122	XP_004338526.1																	
OG0025123	XP_004338527.1																	
OG0025124	XP_004338528.1																	
OG0025125	XP_004338530.1																	
OG0025126	XP_004338535.1																	
OG0025127	XP_004338536.1																	
OG0025128	XP_004338538.1																	
OG0025129	XP_004338548.1																	
OG0025130	XP_004338552.1																	
OG0025131	XP_004338574.1																	
OG0025132	XP_004338578.1																	
OG0025133	XP_004338579.1																	
OG0025134	XP_004338580.1																	
OG0025135	XP_004338586.1																	
OG0025136	XP_004338587.1																	
OG0025137	XP_004338588.1																	
OG0025138	XP_004338598.1																	
OG0025139	XP_004338599.1																	
OG0025140	XP_004338602.1																	
OG0025141	XP_004338604.1																	
OG0025142	XP_004338607.1																	
OG0025143	XP_004338628.1																	
OG0025144	XP_004338638.1																	
OG0025145	XP_004338639.1																	
OG0025146	XP_004338641.1																	
OG0025147	XP_004338646.1																	
OG0025148	XP_004338652.1																	
OG0025149	XP_004338659.1																	
OG0025150	XP_004338664.1																	
OG0025151	XP_004338672.1																	
OG0025152	XP_004338678.1																	
OG0025153	XP_004338684.1																	
OG0025154	XP_004338689.1																	
OG0025155	XP_004338691.1																	
OG0025156	XP_004338693.1																	
OG0025157	XP_004338695.1																	
OG0025158	XP_004338703.1																	
OG0025159	XP_004338707.1																	
OG0025160	XP_004338708.1																	
OG0025161	XP_004338715.1																	
OG0025162	XP_004338717.1																	
OG0025163	XP_004338720.1																	
OG0025164	XP_004338722.1																	
OG0025165	XP_004338728.1																	
OG0025166	XP_004338734.1																	
OG0025167	XP_004338735.1																	
OG0025168	XP_004338741.1																	
OG0025169	XP_004338742.1																	
OG0025170	XP_004338743.1																	
OG0025171	XP_004338746.1																	
OG0025172	XP_004338749.1																	
OG0025173	XP_004338750.1																	
OG0025174	XP_004338752.1																	
OG0025175	XP_004338757.1																	
OG0025176	XP_004338759.1																	
OG0025177	XP_004338774.1																	
OG0025178	XP_004338775.1																	
OG0025179	XP_004338780.1																	
OG0025180	XP_004338785.1																	
OG0025181	XP_004338786.1																	
OG0025182	XP_004338787.1																	
OG0025183	XP_004338788.1																	
OG0025184	XP_004338790.1																	
OG0025185	XP_004338808.1																	
OG0025186	XP_004338815.1																	
OG0025187	XP_004338816.1																	
OG0025188	XP_004338821.1																	
OG0025189	XP_004338826.1																	
OG0025190	XP_004338828.1																	
OG0025191	XP_004338830.1																	
OG0025192	XP_004338832.1																	
OG0025193	XP_004338833.1																	
OG0025194	XP_004338834.1																	
OG0025195	XP_004338835.1																	
OG0025196	XP_004338837.1																	
OG0025197	XP_004338839.1																	
OG0025198	XP_004338845.1																	
OG0025199	XP_004338849.1																	
OG0025200	XP_004338856.1																	
OG0025201	XP_004338861.1																	
OG0025202	XP_004338863.1																	
OG0025203	XP_004338866.1																	
OG0025204	XP_004338869.1																	
OG0025205	XP_004338873.1																	
OG0025206	XP_004338874.1																	
OG0025207	XP_004338879.1																	
OG0025208	XP_004338880.1																	
OG0025209	XP_004338883.1																	
OG0025210	XP_004338885.1																	
OG0025211	XP_004338887.1																	
OG0025212	XP_004338898.1																	
OG0025213	XP_004338899.1																	
OG0025214	XP_004338901.1																	
OG0025215	XP_004338903.1																	
OG0025216	XP_004338904.1																	
OG0025217	XP_004338905.1																	
OG0025218	XP_004338906.1																	
OG0025219	XP_004338907.1																	
OG0025220	XP_004338925.1																	
OG0025221	XP_004338929.1																	
OG0025222	XP_004338933.1																	
OG0025223	XP_004338935.1																	
OG0025224	XP_004338941.1																	
OG0025225	XP_004338965.1																	
OG0025226	XP_004338966.1																	
OG0025227	XP_004338969.1																	
OG0025228	XP_004338978.1																	
OG0025229	XP_004338988.1																	
OG0025230	XP_004338993.1																	
OG0025231	XP_004338999.1																	
OG0025232	XP_004339003.1																	
OG0025233	XP_004339014.1																	
OG0025234	XP_004339016.1																	
OG0025235	XP_004339018.1																	
OG0025236	XP_004339019.1																	
OG0025237	XP_004339022.1																	
OG0025238	XP_004339037.1																	
OG0025239	XP_004339039.1																	
OG0025240	XP_004339056.1																	
OG0025241	XP_004339069.1																	
OG0025242	XP_004339070.1																	
OG0025243	XP_004339073.1																	
OG0025244	XP_004339079.1																	
OG0025245	XP_004339080.1																	
OG0025246	XP_004339081.1																	
OG0025247	XP_004339083.1																	
OG0025248	XP_004339084.1																	
OG0025249	XP_004339085.1																	
OG0025250	XP_004339094.1																	
OG0025251	XP_004339103.1																	
OG0025252	XP_004339104.1																	
OG0025253	XP_004339108.1																	
OG0025254	XP_004339109.1																	
OG0025255	XP_004339115.1																	
OG0025256	XP_004339127.1																	
OG0025257	XP_004339128.1																	
OG0025258	XP_004339132.1																	
OG0025259	XP_004339135.1																	
OG0025260	XP_004339142.1																	
OG0025261	XP_004339144.1																	
OG0025262	XP_004339150.1																	
OG0025263	XP_004339162.1																	
OG0025264	XP_004339165.1																	
OG0025265	XP_004339169.1																	
OG0025266	XP_004339170.1																	
OG0025267	XP_004339175.1																	
OG0025268	XP_004339178.1																	
OG0025269	XP_004339179.1																	
OG0025270	XP_004339180.1																	
OG0025271	XP_004339182.1																	
OG0025272	XP_004339183.1																	
OG0025273	XP_004339190.1																	
OG0025274	XP_004339205.1																	
OG0025275	XP_004339209.1																	
OG0025276	XP_004339215.1																	
OG0025277	XP_004339217.1																	
OG0025278	XP_004339230.1																	
OG0025279	XP_004339234.1																	
OG0025280	XP_004339236.1																	
OG0025281	XP_004339246.1																	
OG0025282	XP_004339253.1																	
OG0025283	XP_004339254.1																	
OG0025284	XP_004339261.1																	
OG0025285	XP_004339262.1																	
OG0025286	XP_004339268.1																	
OG0025287	XP_004339273.1																	
OG0025288	XP_004339275.1																	
OG0025289	XP_004339276.1																	
OG0025290	XP_004339281.1																	
OG0025291	XP_004339286.1																	
OG0025292	XP_004339289.1																	
OG0025293	XP_004339297.1																	
OG0025294	XP_004339298.1																	
OG0025295	XP_004339300.1																	
OG0025296	XP_004339301.1																	
OG0025297	XP_004339303.1																	
OG0025298	XP_004339304.1																	
OG0025299	XP_004339317.1																	
OG0025300	XP_004339319.1																	
OG0025301	XP_004339320.1																	
OG0025302	XP_004339322.1																	
OG0025303	XP_004339323.1																	
OG0025304	XP_004339324.1																	
OG0025305	XP_004339331.1																	
OG0025306	XP_004339333.1																	
OG0025307	XP_004339334.1																	
OG0025308	XP_004339340.1																	
OG0025309	XP_004339341.1																	
OG0025310	XP_004339342.1																	
OG0025311	XP_004339343.1																	
OG0025312	XP_004339346.1																	
OG0025313	XP_004339349.1																	
OG0025314	XP_004339358.1																	
OG0025315	XP_004339359.1																	
OG0025316	XP_004339362.1																	
OG0025317	XP_004339366.1																	
OG0025318	XP_004339370.1																	
OG0025319	XP_004339373.1																	
OG0025320	XP_004339382.1																	
OG0025321	XP_004339386.1																	
OG0025322	XP_004339387.1																	
OG0025323	XP_004339393.1																	
OG0025324	XP_004339398.1																	
OG0025325	XP_004339402.1																	
OG0025326	XP_004339403.1																	
OG0025327	XP_004339404.1																	
OG0025328	XP_004339413.1																	
OG0025329	XP_004339418.1																	
OG0025330	XP_004339422.1																	
OG0025331	XP_004339428.1																	
OG0025332	XP_004339429.1																	
OG0025333	XP_004339430.1																	
OG0025334	XP_004339433.1																	
OG0025335	XP_004339438.1																	
OG0025336	XP_004339445.1																	
OG0025337	XP_004339455.1																	
OG0025338	XP_004339461.1																	
OG0025339	XP_004339462.1																	
OG0025340	XP_004339465.1																	
OG0025341	XP_004339475.1																	
OG0025342	XP_004339485.1																	
OG0025343	XP_004339488.1																	
OG0025344	XP_004339494.1																	
OG0025345	XP_004339500.1																	
OG0025346	XP_004339507.1																	
OG0025347	XP_004339509.1																	
OG0025348	XP_004339514.1																	
OG0025349	XP_004339515.1																	
OG0025350	XP_004339516.1																	
OG0025351	XP_004339522.1																	
OG0025352	XP_004339531.1																	
OG0025353	XP_004339535.1																	
OG0025354	XP_004339537.1																	
OG0025355	XP_004339543.1																	
OG0025356	XP_004339551.1																	
OG0025357	XP_004339552.1																	
OG0025358	XP_004339553.1																	
OG0025359	XP_004339554.1																	
OG0025360	XP_004339557.1																	
OG0025361	XP_004339566.1																	
OG0025362	XP_004339576.1																	
OG0025363	XP_004339577.1																	
OG0025364	XP_004339578.1																	
OG0025365	XP_004339581.1																	
OG0025366	XP_004339582.1																	
OG0025367	XP_004339584.1																	
OG0025368	XP_004339585.1																	
OG0025369	XP_004339590.1																	
OG0025370	XP_004339595.1																	
OG0025371	XP_004339606.1																	
OG0025372	XP_004339609.1																	
OG0025373	XP_004339614.1																	
OG0025374	XP_004339626.1																	
OG0025375	XP_004339628.1																	
OG0025376	XP_004339630.1																	
OG0025377	XP_004339631.1																	
OG0025378	XP_004339632.1																	
OG0025379	XP_004339633.1																	
OG0025380	XP_004339634.1																	
OG0025381	XP_004339635.1																	
OG0025382	XP_004339640.1																	
OG0025383	XP_004339641.1																	
OG0025384	XP_004339645.1																	
OG0025385	XP_004339648.1																	
OG0025386	XP_004339651.1																	
OG0025387	XP_004339656.1																	
OG0025388	XP_004339657.1																	
OG0025389	XP_004339658.1																	
OG0025390	XP_004339661.1																	
OG0025391	XP_004339663.1																	
OG0025392	XP_004339666.1																	
OG0025393	XP_004339670.1																	
OG0025394	XP_004339671.1																	
OG0025395	XP_004339674.1																	
OG0025396	XP_004339677.1																	
OG0025397	XP_004339682.1																	
OG0025398	XP_004339686.1																	
OG0025399	XP_004339687.1																	
OG0025400	XP_004339692.1																	
OG0025401	XP_004339693.1																	
OG0025402	XP_004339695.1																	
OG0025403	XP_004339697.1																	
OG0025404	XP_004339698.1																	
OG0025405	XP_004339704.1																	
OG0025406	XP_004339705.1																	
OG0025407	XP_004339715.1																	
OG0025408	XP_004339723.1																	
OG0025409	XP_004339726.1																	
OG0025410	XP_004339727.1																	
OG0025411	XP_004339728.1																	
OG0025412	XP_004339729.1																	
OG0025413	XP_004339733.1																	
OG0025414	XP_004339736.1																	
OG0025415	XP_004339742.1																	
OG0025416	XP_004339744.1																	
OG0025417	XP_004339749.1																	
OG0025418	XP_004339756.1																	
OG0025419	XP_004339758.1																	
OG0025420	XP_004339762.1																	
OG0025421	XP_004339768.1																	
OG0025422	XP_004339776.1																	
OG0025423	XP_004339781.1																	
OG0025424	XP_004339795.1																	
OG0025425	XP_004339802.1																	
OG0025426	XP_004339803.1																	
OG0025427	XP_004339808.1																	
OG0025428	XP_004339813.1																	
OG0025429	XP_004339822.1																	
OG0025430	XP_004339823.1																	
OG0025431	XP_004339824.1																	
OG0025432	XP_004339832.1																	
OG0025433	XP_004339839.1																	
OG0025434	XP_004339843.1																	
OG0025435	XP_004339844.1																	
OG0025436	XP_004339848.1																	
OG0025437	XP_004339849.1																	
OG0025438	XP_004339854.1																	
OG0025439	XP_004339857.1																	
OG0025440	XP_004339868.1																	
OG0025441	XP_004339869.1																	
OG0025442	XP_004339872.1																	
OG0025443	XP_004339879.1																	
OG0025444	XP_004339881.1																	
OG0025445	XP_004339883.1																	
OG0025446	XP_004339897.1																	
OG0025447	XP_004339906.1																	
OG0025448	XP_004339907.1																	
OG0025449	XP_004339909.1																	
OG0025450	XP_004339911.1																	
OG0025451	XP_004339914.1																	
OG0025452	XP_004339918.1																	
OG0025453	XP_004339937.1																	
OG0025454	XP_004339938.1																	
OG0025455	XP_004339939.1																	
OG0025456	XP_004339944.1																	
OG0025457	XP_004339945.1																	
OG0025458	XP_004339947.1																	
OG0025459	XP_004339949.1																	
OG0025460	XP_004339951.1																	
OG0025461	XP_004339955.1																	
OG0025462	XP_004339956.1																	
OG0025463	XP_004339980.1																	
OG0025464	XP_004339982.1																	
OG0025465	XP_004339988.1																	
OG0025466	XP_004339992.1																	
OG0025467	XP_004339993.1																	
OG0025468	XP_004339995.1																	
OG0025469	XP_004340004.1																	
OG0025470	XP_004340016.1																	
OG0025471	XP_004340020.1																	
OG0025472	XP_004340021.1																	
OG0025473	XP_004340023.1																	
OG0025474	XP_004340025.1																	
OG0025475	XP_004340027.1																	
OG0025476	XP_004340030.1																	
OG0025477	XP_004340034.1																	
OG0025478	XP_004340036.1																	
OG0025479	XP_004340040.1																	
OG0025480	XP_004340041.1																	
OG0025481	XP_004340047.1																	
OG0025482	XP_004340052.1																	
OG0025483	XP_004340063.1																	
OG0025484	XP_004340069.1																	
OG0025485	XP_004340080.1																	
OG0025486	XP_004340106.1																	
OG0025487	XP_004340108.1																	
OG0025488	XP_004340109.1																	
OG0025489	XP_004340116.1																	
OG0025490	XP_004340120.1																	
OG0025491	XP_004340123.1																	
OG0025492	XP_004340126.1																	
OG0025493	XP_004340128.1																	
OG0025494	XP_004340132.1																	
OG0025495	XP_004340135.1																	
OG0025496	XP_004340139.1																	
OG0025497	XP_004340143.1																	
OG0025498	XP_004340147.1																	
OG0025499	XP_004340150.1																	
OG0025500	XP_004340158.1																	
OG0025501	XP_004340161.1																	
OG0025502	XP_004340163.1																	
OG0025503	XP_004340164.1																	
OG0025504	XP_004340168.1																	
OG0025505	XP_004340172.1																	
OG0025506	XP_004340183.1																	
OG0025507	XP_004340187.1																	
OG0025508	XP_004340191.1																	
OG0025509	XP_004340192.1																	
OG0025510	XP_004340195.1																	
OG0025511	XP_004340208.1																	
OG0025512	XP_004340212.1																	
OG0025513	XP_004340214.1																	
OG0025514	XP_004340222.1																	
OG0025515	XP_004340224.1																	
OG0025516	XP_004340225.1																	
OG0025517	XP_004340230.1																	
OG0025518	XP_004340232.1																	
OG0025519	XP_004340233.1																	
OG0025520	XP_004340235.1																	
OG0025521	XP_004340244.1																	
OG0025522	XP_004340245.1																	
OG0025523	XP_004340249.1																	
OG0025524	XP_004340252.1																	
OG0025525	XP_004340253.1																	
OG0025526	XP_004340256.1																	
OG0025527	XP_004340267.1																	
OG0025528	XP_004340277.1																	
OG0025529	XP_004340289.1																	
OG0025530	XP_004340291.1																	
OG0025531	XP_004340302.1																	
OG0025532	XP_004340303.1																	
OG0025533	XP_004340305.1																	
OG0025534	XP_004340306.1																	
OG0025535	XP_004340313.1																	
OG0025536	XP_004340325.1																	
OG0025537	XP_004340331.1																	
OG0025538	XP_004340336.1																	
OG0025539	XP_004340343.1																	
OG0025540	XP_004340344.1																	
OG0025541	XP_004340345.1																	
OG0025542	XP_004340346.1																	
OG0025543	XP_004340348.1																	
OG0025544	XP_004340380.1																	
OG0025545	XP_004340382.1																	
OG0025546	XP_004340397.1																	
OG0025547	XP_004340398.1																	
OG0025548	XP_004340401.1																	
OG0025549	XP_004340411.1																	
OG0025550	XP_004340420.1																	
OG0025551	XP_004340423.1																	
OG0025552	XP_004340424.1																	
OG0025553	XP_004340426.1																	
OG0025554	XP_004340432.1																	
OG0025555	XP_004340439.1																	
OG0025556	XP_004340441.1																	
OG0025557	XP_004340445.1																	
OG0025558	XP_004340446.1																	
OG0025559	XP_004340450.1																	
OG0025560	XP_004340459.1																	
OG0025561	XP_004340460.1																	
OG0025562	XP_004340468.1																	
OG0025563	XP_004340484.1																	
OG0025564	XP_004340486.1																	
OG0025565	XP_004340500.1																	
OG0025566	XP_004340501.1																	
OG0025567	XP_004340503.1																	
OG0025568	XP_004340504.1																	
OG0025569	XP_004340506.1																	
OG0025570	XP_004340507.1																	
OG0025571	XP_004340511.1																	
OG0025572	XP_004340514.1																	
OG0025573	XP_004340519.1																	
OG0025574	XP_004340524.1																	
OG0025575	XP_004340533.1																	
OG0025576	XP_004340541.1																	
OG0025577	XP_004340546.1																	
OG0025578	XP_004340563.1																	
OG0025579	XP_004340565.1																	
OG0025580	XP_004340577.1																	
OG0025581	XP_004340581.1																	
OG0025582	XP_004340583.1																	
OG0025583	XP_004340593.1																	
OG0025584	XP_004340597.1																	
OG0025585	XP_004340602.1																	
OG0025586	XP_004340605.1																	
OG0025587	XP_004340608.1																	
OG0025588	XP_004340609.1																	
OG0025589	XP_004340610.1																	
OG0025590	XP_004340612.1																	
OG0025591	XP_004340613.1																	
OG0025592	XP_004340617.1																	
OG0025593	XP_004340620.1																	
OG0025594	XP_004340623.1																	
OG0025595	XP_004340624.1																	
OG0025596	XP_004340632.1																	
OG0025597	XP_004340651.1																	
OG0025598	XP_004340654.1																	
OG0025599	XP_004340657.1																	
OG0025600	XP_004340660.1																	
OG0025601	XP_004340669.1																	
OG0025602	XP_004340670.1																	
OG0025603	XP_004340675.1																	
OG0025604	XP_004340682.1																	
OG0025605	XP_004340689.1																	
OG0025606	XP_004340696.1																	
OG0025607	XP_004340707.1																	
OG0025608	XP_004340712.1																	
OG0025609	XP_004340715.1																	
OG0025610	XP_004340736.1																	
OG0025611	XP_004340745.1																	
OG0025612	XP_004340746.1																	
OG0025613	XP_004340756.1																	
OG0025614	XP_004340757.1																	
OG0025615	XP_004340764.1																	
OG0025616	XP_004340775.1																	
OG0025617	XP_004340776.1																	
OG0025618	XP_004340783.1																	
OG0025619	XP_004340784.1																	
OG0025620	XP_004340786.1																	
OG0025621	XP_004340790.1																	
OG0025622	XP_004340803.1																	
OG0025623	XP_004340817.1																	
OG0025624	XP_004340824.1																	
OG0025625	XP_004340844.1																	
OG0025626	XP_004340846.1																	
OG0025627	XP_004340854.1																	
OG0025628	XP_004340855.1																	
OG0025629	XP_004340857.1																	
OG0025630	XP_004340871.1																	
OG0025631	XP_004340879.1																	
OG0025632	XP_004340881.1																	
OG0025633	XP_004340883.1																	
OG0025634	XP_004340896.1																	
OG0025635	XP_004340897.1																	
OG0025636	XP_004340898.1																	
OG0025637	XP_004340901.1																	
OG0025638	XP_004340922.1																	
OG0025639	XP_004340923.1																	
OG0025640	XP_004340925.1																	
OG0025641	XP_004340928.1																	
OG0025642	XP_004340929.1																	
OG0025643	XP_004340930.1																	
OG0025644	XP_004340931.1																	
OG0025645	XP_004340940.1																	
OG0025646	XP_004340943.1																	
OG0025647	XP_004340945.1																	
OG0025648	XP_004340950.1																	
OG0025649	XP_004340951.1																	
OG0025650	XP_004340952.1																	
OG0025651	XP_004340954.1																	
OG0025652	XP_004340955.1																	
OG0025653	XP_004340964.1																	
OG0025654	XP_004340975.1																	
OG0025655	XP_004340990.1																	
OG0025656	XP_004340991.1																	
OG0025657	XP_004340992.1																	
OG0025658	XP_004340993.1																	
OG0025659	XP_004340998.1																	
OG0025660	XP_004341008.1																	
OG0025661	XP_004341009.1																	
OG0025662	XP_004341012.1																	
OG0025663	XP_004341013.1																	
OG0025664	XP_004341020.1																	
OG0025665	XP_004341021.1																	
OG0025666	XP_004341023.1																	
OG0025667	XP_004341027.1																	
OG0025668	XP_004341028.1																	
OG0025669	XP_004341030.1																	
OG0025670	XP_004341039.1																	
OG0025671	XP_004341040.1																	
OG0025672	XP_004341041.1																	
OG0025673	XP_004341044.1																	
OG0025674	XP_004341046.1																	
OG0025675	XP_004341047.1																	
OG0025676	XP_004341048.1																	
OG0025677	XP_004341050.1																	
OG0025678	XP_004341052.1																	
OG0025679	XP_004341053.1																	
OG0025680	XP_004341061.1																	
OG0025681	XP_004341062.1																	
OG0025682	XP_004341063.1																	
OG0025683	XP_004341069.1																	
OG0025684	XP_004341074.1																	
OG0025685	XP_004341075.1																	
OG0025686	XP_004341076.1																	
OG0025687	XP_004341079.1																	
OG0025688	XP_004341088.1																	
OG0025689	XP_004341097.1																	
OG0025690	XP_004341098.1																	
OG0025691	XP_004341099.1																	
OG0025692	XP_004341100.1																	
OG0025693	XP_004341102.1																	
OG0025694	XP_004341103.1																	
